"","HenID","Status","Age","Fate","CaptureDate","LastHeardDate","FateDate"
"299","H633","censored","adult",1,2016-04-11,2018-10-31,"2018-10-31"
"300","H634","mortality","adult",5,2016-04-11,2016-04-11,"2016-04-27"
"301","H635","censored","juvenile",1,2016-08-07,2019-01-09,"2019-01-09"
"302","H638","mortality","juvenile",10,2016-08-22,2016-08-22,"2016-09-20 09:33:39"
"303","H639","mortality","juvenile",5,2016-08-25,2017-07-24,"2017-08-01"
"304","H64","mortality","adult",10,2011-04-14,2012-08-28,"2012-10-04"
"305","H640","mortality","juvenile",10,2016-08-26,2017-08-09,"2017-09-26"
"306","H641","mortality","juvenile",3,2016-08-27,2017-02-22,"2017-04-20"
"307","H65","mortality","juvenile",10,2011-04-03,2011-11-09,"2011-12-08"
"308","H66","mortality","adult",10,2011-04-03,2012-05-15,"2012-05-17"
"309","H67","mortality","adult",10,2011-04-02,2011-08-03,"2011-11-09"
"310","H68","mortality","adult",3,2011-04-11,2012-10-05,"2012-11-13"
"311","H69","mortality","juvenile",3,2011-04-11,2013-05-09,"2013-05-27"
"312","H7","mortality","",5,2011-04-13,2012-10-05,"2012-11-14"
"313","H70","mortality","juvenile",5,2011-03-24,2012-06-21,"2012-06-24"
"314","H700","mortality","juvenile",10,2017-03-23,2018-01-05,"2018-03-01"
"315","H701","mortality","juvenile",10,2017-03-24,2017-08-09,"2017-09-26"
"316","H702","mortality","adult",4,2017-03-24,2017-08-16,"2017-08-19"
"317","H703","mortality","juvenile",10,2017-03-24,2017-08-14,"2017-09-26"
"318","H704","mortality","juvenile",3,2017-03-25,2017-08-14,"2017-09-26"
"319","H705","mortality","adult",4,2017-03-25,2018-05-13,"2018-05-16"
"320","H706","mortality","adult",4,2017-03-24,2017-04-29,"2017-05-02"
"321","H707","mortality","juvenile",10,2017-03-24,2017-03-24,"2017-04-25"
"322","H708","mortality","adult",5,2017-03-24,2017-03-24,"2017-04-10"
"323","H709","mortality","adult",4,2017-03-25,2018-08-01,"2018-08-06"
"324","H71","mortality","adult",5,2011-04-05,2011-04-13,"2011-05-28"
"325","H710","mortality","adult",4,2017-03-25,2017-08-14,"2017-09-26"
"326","H711","mortality","adult",10,2017-03-25,2017-11-13,"2018-01-05"
"327","H712","mortality","adult",3,2017-03-25,2017-04-24,"2017-05-05"
"328","H713","mortality","adult",10,2017-03-25,2019-09-26,"2019-10-15"
"329","H714","mortality","adult",10,2017-03-26,2017-08-11,"2017-09-26"
"330","H715","mortality","adult",3,2017-03-26,2020-11-24,"2020-12-02"
"331","H716","mortality","adult",5,2017-03-26,2018-06-08,"2018-06-10"
"332","H717","mortality","juvenile",10,2017-03-26,2017-05-29,"2017-07-20"
"333","H718","mortality","adult",3,2017-03-27,2018-04-21,"2018-04-26"
"334","H719","mortality","adult",3,2017-03-27,2017-08-14,"2017-09-26"
"335","H72","mortality","juvenile",5,2011-04-11,2011-06-23,"2011-06-26"
"336","H720","mortality","adult",3,2017-03-28,2018-08-01,"2018-09-26"
"337","H721","mortality","juvenile",4,2017-03-28,2019-06-09,"2019-06-11"
